Sequence id;Personnage;Dialogue;Etat;Skipable;Delai (avant de lancer le dialogue)
0;Alex;(Bâillement),(Étirement) Aaaah ma tête ...pffffff… Quelle soirée hier !;Pensee;1;
0;Alex;Il est quelle heure ?;Pensee;1;
1;Alex;?!! Mais c’est quoi ce truc ?;;1;
1;Natyahs;Hé ce ""truc"" est un génie, tu sais comme dans les films.;;1;
1;Alex;Donc j’ai droit à des souhaits ? ;;1;
1;Natyahs;Absolument tout ce que tu veux... ;;1;
1;Natyahs;Mais je dois prendre possession de ton corps pour les exaucer. ;;1;
1;Alex;Hmmmm ;;1;
1;Natyahs;Tu n’as pas un rêve à réaliser ? ;;1;
1;Alex;Si, mais je ne veux pas perdre le contrôle de mon corps. ;;1;
1;Natyahs;Ah, on ne peut pas tout avoir, mais c’est comme tu veux. ;;1;
1;Natyahs;Je vais faire une petite sieste ici. ;;1;
1;Natyahs;Tant que tu possèdes la bague, je serais dans le coin.;;1;
1;Alex;Pourquoi ça ? ;;1;
1;Natyahs;Je ne peux pas m’en éloigner avec ce corps. T'occupes, c'est un truc de génie.;;1;
2;Alex;Ah merde ! Faut que je range...;;1;
2;Natyahs;Ou souhaiter une chambre rangée. Ce serait un gachi de mon pouvoir, mais si tu le souhaites …;;1;
2;Alex;Bien essayé, mais je vais garder mon corps ce coup-ci.;;1;
3;Alex;Non, non, nooooon …. Alleeeeez. ;;1;
3;Natyahs;Besoin de quelque chose ?;;1;
3;Alex;Un ordinateur qui fonctionne ! J’ai un devoir à rendre avec Lucie demain à 8h30 !;;1;
3;Natyahs;Serait-ce un voeu ?;;1;
3;Alex;Il te faut combien de temps pour me fournir un ordinateur qui fonctionne ?;;1;
3;Natyahs;Hmmm 45 min;;1;
3;Alex;Bon... J’ai pas le choix … OK;;1;
3;Natyahs;Mets la bague et choisi une carte.;;1;
3;Alex;Pourquoi une carte ?;;1;
3;Natyahs;Pour savoir comment je vais exaucer ton voeux;;1;
